Latin Name,Common Name,Date,Year,Hectad,Monad,Grid reference in Irish Grid,Location,Location Name,Survey Name,Observation Key,Sensitive Species
Hypericum canadense,Irish St John's-wort,27/07/2004,2004,M06,M0160,M012605,"Glenbeg, Lough Mask, Co. Mayo",Glenbeg,Miscellaneous NPWS Records,DSS00520000007GO,
Hypericum canadense,Irish St John's-wort,30/07/2004,2004,M05,M0059,M004599,"Cummer, Co. Mayo",Cummer,Miscellaneous NPWS Records,DSS00520000007GQ,
Hypericum canadense,Irish St John's-wort,19/07/2004,2004,L96,L9960,L998602,"Cummer, Co. Mayo",Near Cummer,Miscellaneous NPWS Records,DSS00520000007GR,
Hypericum canadense,Irish St John's-wort,25/07/2004,2004,M06,M0763,M073638,"South-east of Trean, Co. Mayo",South-east of Trean,Miscellaneous NPWS Records,DSS00520000007GS,
Hypericum canadense,Irish St John's-wort,Jul-04,2004,M06,M0263,M022635,"Near Lough Nambrackkeagh, Co. Mayo",Near Lough Nambrackkeagh,Miscellaneous NPWS Records,DSS00520000007GT,
Hypericum canadense,Irish St John's-wort,Jul-04,2004,M06,M0562,M051624,"Shanvallycahill, Co. Mayo",Shanvallycahill nearly to Owenbrin River bridge,Miscellaneous NPWS Records,DSS00520000007GU,
Lycopodiella inundata,Marsh Clubmoss,Jul-04,2004,M06,M0562,M051624,"Shanvallycahill, Co. Mayo",Shanvallycahill nearly to Owenbrin River bridge,Miscellaneous NPWS Records,DSS00520000007GV,
Hypericum canadense,Irish St John's-wort,18/07/2004,2004,M06,M0565,M058657,"Glensaul, Co. Mayo",Glensaul,Miscellaneous NPWS Records,DSS00520000007GW,
Hypericum canadense,Irish St John's-wort,19/07/2004,2004,M06,M0061,M004619,"Srahnalong, Co. Mayo",Srahnalong,Miscellaneous NPWS Records,DSS00520000007GZ,
Hypericum canadense,Irish St John's-wort,08/08/2005,2005,M06,M0060,M004602,"Cummer, Co. Mayo",Cummer graveyard,Miscellaneous NPWS Records,DSS00520000007H1,
Hypericum canadense,Irish St John's-wort,08/08/2005,2005,M06,M0160,M017604,"Glenbeg, Lough Mask, Co. Mayo",Glenbeg West,Miscellaneous NPWS Records,DSS00520000007H2,
Hypericum canadense,Irish St John's-wort,08/08/2005,2005,M06,M0360,M0359060952,"Glenbeg East, Lough Mask, Co. Mayo",Glenbeg East,Miscellaneous NPWS Records,DSS00520000007H4,
Hypericum canadense,Irish St John's-wort,13/08/2005,2005,L96,L9960,L9983560116,"Cummer, Co. Mayo","Cummer ""Picnic Site""",Miscellaneous NPWS Records,DSS00520000007H7,
Hypericum canadense,Irish St John's-wort,13/08/2005,2005,M05,M0059,M0030459923,"Cummer, Co. Mayo",Cummer flush site,Miscellaneous NPWS Records,DSS00520000007H9,
Hypericum canadense,Irish St John's-wort,09/08/2005,2005,M17,M1273,M1224173659,"Near Srah, Co. Mayo",North of Srah,Miscellaneous NPWS Records,DSS00520000007HA,
Hypericum canadense,Irish St John's-wort,10/08/2005,2005,M17,M1073,M1025973285,"Shangort, Srah, Co. Mayo",Shangort,Miscellaneous NPWS Records,DSS00520000007HB,
Hypericum canadense,Irish St John's-wort,10/08/2005,2005,M17,M1272,M125726,"Near Srah, Co. Mayo","Liam Lally's ""lime site""",Miscellaneous NPWS Records,DSS00520000007HC,
